pokedex_number,name,primary_type,secondary_type,total,average,hp,attack,defense,sp_atk,sp_def,speed,generation,legendary,catch_rate,egg_group_1,egg_group_2,proportion_of_grass_moves,proportion_of_fire_moves,proportion_of_water_moves,proportion_of_bug_moves,proportion_of_normal_moves,proportion_of_dark_moves,proportion_of_poison_moves,proportion_of_electric_moves,proportion_of_ground_moves,proportion_of_ice_moves,proportion_of_fairy_moves,proportion_of_steel_moves,proportion_of_fighting_moves,proportion_of_psychic_moves,proportion_of_rock_moves,proportion_of_ghost_moves,proportion_of_dragon_moves,proportion_of_flying_moves,sum_moves
19,Rattata Alolan Rattata,Dark,Normal,253,42.17,30,56,35,25,35,72,7,False,255,Field,,0.0,9.09,0.0,0.0,45.45,9.09,0.0,0.0,0.0,0.0,0.0,0.0,36.36,0.0,0.0,0.0,0.0,0.0,11.0
20,Raticate,Normal,,413,68.83,55,81,60,50,70,97,1,False,127,Field,,0.0,0.0,0.0,0.0,73.33,26.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
20,Raticate Alolan Raticate,Dark,Normal,413,68.83,75,71,70,40,80,77,7,False,127,Field,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,Spearow,Normal,Flying,262,43.67,40,60,30,31,31,70,1,False,255,Flying,,0.0,0.0,0.0,0.0,41.67,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,41.67,12.0
22,Fearow,Normal,Flying,442,73.67,65,90,65,61,61,100,1,False,90,Flying,,0.0,0.0,0.0,0.0,35.71,7.14,0.0,0.0,7.14,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,42.86,14.0
23,Ekans,Poison,,288,48.0,35,60,44,40,54,55,1,False,255,Field,Dragon,0.0,0.0,0.0,0.0,41.18,5.88,47.06,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
24,Arbok,Poison,,448,74.67,60,95,69,65,79,80,1,False,90,Field,Dragon,0.0,4.76,0.0,0.0,33.33,9.52,38.1,4.76,0.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
25,Pikachu,Electric,,320,53.33,35,55,40,50,50,90,1,False,190,Field,Fairy,0.0,0.0,0.0,0.0,35.0,5.0,0.0,40.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0
26,Raichu,Electric,,485,80.83,60,90,55,90,80,110,1,False,75,Field,Fairy,0.0,0.0,0.0,0.0,33.33,4.76,0.0,42.86,0.0,0.0,9.52,0.0,0.0,9.52,0.0,0.0,0.0,0.0,21.0
26,Raichu Alolan Raichu,Electric,Psychic,485,80.83,60,85,50,95,85,110,7,False,75,Field,Fairy,0.0,0.0,0.0,0.0,33.33,4.76,0.0,38.1,0.0,0.0,9.52,0.0,0.0,14.29,0.0,0.0,0.0,0.0,21.0
27,Sandshrew,Ground,,300,50.0,50,75,85,20,30,40,1,False,255,Field,,0.0,0.0,0.0,5.88,41.18,0.0,5.88,0.0,23.53,0.0,0.0,5.88,0.0,5.88,11.76,0.0,0.0,0.0,17.0
27,Sandshrew Alolan Sandshrew,Ice,Steel,300,50.0,50,75,90,10,35,40,7,False,255,Field,,0.0,0.0,0.0,5.88,41.18,0.0,0.0,0.0,0.0,23.53,0.0,23.53,0.0,0.0,5.88,0.0,0.0,0.0,17.0
28,Sandslash,Ground,,450,75.0,75,100,110,45,55,65,1,False,90,Field,,0.0,0.0,0.0,5.56,44.44,0.0,5.56,0.0,27.78,0.0,0.0,5.56,0.0,0.0,11.11,0.0,0.0,0.0,18.0
28,Sandslash Alolan Sandslash,Ice,Steel,450,75.0,75,100,120,25,65,65,7,False,90,Field,,0.0,0.0,0.0,5.0,35.0,0.0,0.0,0.0,0.0,30.0,0.0,25.0,0.0,0.0,5.0,0.0,0.0,0.0,20.0
29,Nidoran F,Poison,,275,45.83,55,47,52,40,40,41,1,False,235,Monster,Field,0.0,0.0,0.0,0.0,38.46,23.08,23.08,0.0,7.69,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,13.0
30,Nidorina,Poison,,365,60.83,70,62,67,55,55,56,1,False,120,,,0.0,0.0,0.0,0.0,38.46,23.08,23.08,0.0,7.69,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,13.0
31,Nidoqueen,Poison,Ground,505,84.17,90,92,87,75,85,76,1,False,45,,,0.0,0.0,0.0,0.0,35.71,21.43,21.43,0.0,7.14,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,14.0
32,Nidoran M,Poison,,273,45.5,46,57,40,40,40,50,1,False,235,Monster,Field,0.0,0.0,0.0,0.0,38.46,7.69,30.77,0.0,7.69,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,7.69,13.0
33,Nidorino,Poison,,365,60.83,61,72,57,55,55,65,1,False,120,Monster,Field,0.0,0.0,0.0,0.0,38.46,7.69,30.77,0.0,7.69,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,7.69,13.0
34,Nidoking,Poison,Ground,505,84.17,81,102,77,85,75,85,1,False,45,Monster,Field,0.0,0.0,0.0,7.14,35.71,7.14,28.57,0.0,7.14,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,7.14,14.0
35,Clefairy,Fairy,,323,53.83,70,45,48,60,65,35,1,False,150,Fairy,,0.0,0.0,4.55,0.0,50.0,0.0,0.0,0.0,0.0,0.0,22.73,4.55,0.0,18.18,0.0,0.0,0.0,0.0,22.0
36,Clefable,Fairy,,483,80.5,95,70,73,95,90,60,1,False,25,Fairy,,0.0,0.0,4.55,0.0,50.0,0.0,0.0,0.0,0.0,0.0,22.73,4.55,0.0,18.18,0.0,0.0,0.0,0.0,22.0
37,Vulpix,Fire,,299,49.83,38,41,40,50,65,65,1,False,190,Field,,0.0,43.75,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,18.75,0.0,0.0,16.0
37,Vulpix Alolan Vulpix,Ice,,299,49.83,38,41,40,50,65,65,7,False,190,Field,,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,56.25,0.0,0.0,0.0,12.5,0.0,18.75,0.0,0.0,16.0
38,Ninetales,Fire,,505,84.17,73,76,75,81,100,100,1,False,75,Field,,0.0,41.18,0.0,0.0,23.53,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,17.65,0.0,0.0,17.0
38,Ninetales Alolan Ninetales,Ice,Fairy,505,84.17,73,67,75,81,100,109,7,False,75,Field,,0.0,0.0,0.0,0.0,11.11,5.56,0.0,0.0,0.0,50.0,5.56,0.0,0.0,11.11,0.0,16.67,0.0,0.0,18.0
39,Jigglypuff,Normal,Fairy,270,45.0,115,45,20,45,25,20,1,False,170,Fairy,,0.0,0.0,0.0,0.0,71.43,0.0,0.0,0.0,0.0,0.0,19.05,4.76,0.0,4.76,0.0,0.0,0.0,0.0,21.0
40,Wigglytuff,Normal,Fairy,435,72.5,140,70,45,85,50,45,1,False,50,Fairy,,0.0,0.0,0.0,0.0,71.43,0.0,0.0,0.0,0.0,0.0,19.05,4.76,0.0,4.76,0.0,0.0,0.0,0.0,21.0
41,Zubat,Poison,Flying,245,40.83,40,45,35,30,40,55,1,False,255,Flying,,7.69,0.0,0.0,7.69,15.38,7.69,15.38,0.0,0.0,7.69,0.0,0.0,7.69,0.0,0.0,15.38,0.0,15.38,13.0
42,Golbat,Poison,Flying,455,75.83,75,80,70,65,75,90,1,False,90,Flying,,7.14,0.0,0.0,7.14,21.43,7.14,14.29,0.0,0.0,7.14,0.0,0.0,7.14,0.0,0.0,14.29,0.0,14.29,14.0
43,Oddish,Grass,Poison,320,53.33,45,50,55,75,65,30,1,False,255,Grass,,50.0,0.0,0.0,0.0,14.29,0.0,21.43,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
44,Gloom,Grass,Poison,395,65.83,60,65,70,85,75,40,1,False,120,Grass,,50.0,0.0,0.0,0.0,14.29,0.0,21.43,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
45,Vileplume,Grass,Poison,490,81.67,75,80,85,110,90,50,1,False,45,Grass,,56.25,0.0,0.0,0.0,12.5,0.0,18.75,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
46,Paras,Bug,Grass,285,47.5,35,70,55,45,55,25,1,False,190,Bug,Grass,41.67,0.0,0.0,25.0,25.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
47,Parasect,Bug,Grass,405,67.5,60,95,80,60,80,30,1,False,75,Bug,Grass,38.46,0.0,0.0,23.08,23.08,0.0,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
48,Venonat,Bug,Poison,305,50.83,60,55,50,40,55,45,1,False,190,Bug,,21.43,0.0,0.0,14.29,21.43,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0,0.0,14.0
49,Venomoth,Bug,Poison,450,75.0,70,65,60,90,75,90,1,False,75,Bug,,16.67,0.0,0.0,22.22,22.22,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,22.22,0.0,0.0,0.0,5.56,18.0
50,Diglett,Ground,,265,44.17,10,55,25,35,45,95,1,False,255,Field,,0.0,0.0,0.0,0.0,23.08,7.69,0.0,0.0,53.85,0.0,0.0,0.0,0.0,0.0,7.69,7.69,0.0,0.0,13.0
50,Diglett Alolan Diglett,Ground,Steel,265,44.17,10,55,30,35,45,90,7,False,255,Field,,0.0,0.0,0.0,0.0,7.69,7.69,0.0,0.0,53.85,0.0,0.0,15.38,0.0,0.0,7.69,7.69,0.0,0.0,13.0
51,Dugtrio,Ground,,425,70.83,35,100,50,50,70,120,1,False,50,Field,,0.0,0.0,0.0,0.0,25.0,12.5,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,6.25,6.25,0.0,0.0,16.0
51,Dugtrio Alolan Dugtrio,Ground,Steel,425,70.83,35,100,60,50,70,110,7,False,50,Field,,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,50.0,0.0,0.0,12.5,0.0,0.0,6.25,6.25,0.0,0.0,16.0
52,Meowth,Normal,,290,48.33,40,45,35,40,40,90,1,False,255,Field,,0.0,0.0,0.0,0.0,61.54,30.77,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
52,Meowth Alolan Meowth,Dark,,290,48.33,40,35,35,50,40,90,7,False,255,Field,,0.0,0.0,0.0,0.0,53.85,38.46,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
52,Meowth Galarian Meowth,Steel,,290,48.33,50,65,55,40,40,40,8,False,255,Field,,0.0,0.0,0.0,0.0,69.23,15.38,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,0.0,0.0,13.0
53,Persian,Normal,,440,73.33,65,70,60,65,65,115,1,False,90,Field,,0.0,0.0,0.0,0.0,53.33,33.33,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,6.67,0.0,0.0,0.0,15.0
53,Persian Alolan Persian,Dark,,440,73.33,65,60,60,75,65,115,7,False,90,Field,,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20.0
54,Psyduck,Water,,320,53.33,50,52,48,65,50,55,1,False,190,Water 1,Field,0.0,0.0,33.33,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67,0.0,0.0,0.0,0.0,15.0
55,Golduck,Water,,500,83.33,80,82,78,95,80,85,1,False,75,Water 1,Field,0.0,0.0,37.5,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,16.0
56,Mankey,Fighting,,305,50.83,40,80,35,35,45,70,1,False,190,Field,,0.0,0.0,0.0,0.0,52.63,5.26,0.0,0.0,10.53,0.0,0.0,0.0,26.32,0.0,0.0,0.0,5.26,0.0,19.0
57,Primeape,Fighting,,455,75.83,65,105,60,60,70,95,1,False,75,Field,,0.0,0.0,0.0,0.0,50.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,5.0,0.0,20.0
58,Growlithe,Fire,,350,58.33,55,70,45,70,50,60,1,False,190,Field,,0.0,31.25,0.0,0.0,37.5,12.5,0.0,0.0,0.0,0.0,6.25,0.0,6.25,6.25,0.0,0.0,0.0,0.0,16.0
58,Growlithe Hisuian Growlithe,Fire,Rock,350,58.33,60,75,45,65,50,55,8,False,190,Field,,0.0,16.67,0.0,0.0,8.33,8.33,0.0,8.33,0.0,0.0,8.33,8.33,8.33,8.33,8.33,0.0,8.33,8.33,12.0
59,Arcanine,Fire,,555,92.5,90,110,80,100,80,95,1,False,75,Field,,0.0,33.33,0.0,0.0,38.89,11.11,0.0,0.0,0.0,0.0,5.56,0.0,5.56,5.56,0.0,0.0,0.0,0.0,18.0
59,Arcanine Hisuian Arcanine,Fire,Rock,555,92.5,95,115,80,95,80,90,8,False,75,Field,,0.0,11.11,0.0,0.0,16.67,5.56,0.0,11.11,5.56,0.0,5.56,11.11,5.56,5.56,11.11,0.0,5.56,5.56,18.0
60,Poliwag,Water,,300,50.0,40,50,40,40,40,90,1,False,255,Water 1,,0.0,0.0,36.36,0.0,36.36,0.0,0.0,0.0,18.18,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,11.0
61,Poliwhirl,Water,,385,64.17,65,65,65,50,50,90,1,False,120,Water 1,,0.0,0.0,36.36,0.0,36.36,0.0,0.0,0.0,18.18,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,11.0
62,Poliwrath,Water,Fighting,510,85.0,90,95,95,70,90,70,1,False,45,Water 1,,0.0,0.0,26.67,0.0,33.33,0.0,0.0,0.0,13.33,0.0,0.0,0.0,20.0,6.67,0.0,0.0,0.0,0.0,15.0
63,Abra,Psychic,,310,51.67,25,20,15,105,55,90,1,False,200,Human-Like,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0
64,Kadabra,Psychic,,400,66.67,40,35,30,120,70,105,1,False,100,Human-Like,,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71,0.0,0.0,0.0,0.0,14.0
65,Alakazam,Psychic,,500,83.33,55,50,45,135,95,120,1,False,50,Human-Like,,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71,0.0,0.0,0.0,0.0,14.0
66,Machop,Fighting,,305,50.83,70,80,50,35,35,35,1,False,180,Human-Like,,0.0,0.0,0.0,0.0,33.33,6.67,0.0,0.0,0.0,0.0,0.0,0.0,53.33,0.0,0.0,0.0,6.67,0.0,15.0
67,Machoke,Fighting,,405,67.5,80,100,70,50,60,45,1,False,90,Human-Like,,0.0,0.0,0.0,0.0,33.33,6.67,0.0,0.0,0.0,0.0,0.0,0.0,53.33,0.0,0.0,0.0,6.67,0.0,15.0
68,Machamp,Fighting,,505,84.17,90,130,80,65,85,55,1,False,45,Human-Like,,0.0,0.0,0.0,0.0,31.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,6.25,0.0,6.25,0.0,16.0
69,Bellsprout,Grass,Poison,300,50.0,50,75,35,70,30,40,1,False,255,Grass,,30.77,0.0,0.0,0.0,30.77,7.69,30.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
70,Weepinbell,Grass,Poison,390,65.0,65,90,50,85,45,55,1,False,120,Grass,,30.77,0.0,0.0,0.0,30.77,7.69,30.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
71,Victreebel,Grass,Poison,490,81.67,80,105,65,100,70,70,1,False,45,Grass,,36.84,0.0,0.0,0.0,36.84,5.26,21.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
72,Tentacool,Water,Poison,335,55.83,40,40,35,50,100,70,1,False,190,Water 3,,0.0,0.0,35.71,0.0,21.43,0.0,35.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,14.0
73,Tentacruel,Water,Poison,515,85.83,80,70,65,80,120,100,1,False,60,Water 3,,0.0,0.0,33.33,0.0,26.67,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,15.0
74,Geodude,Rock,Ground,300,50.0,40,80,100,30,30,20,1,False,255,Mineral,,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,16.0
74,Geodude Alolan Geodude,Rock,Electric,300,50.0,40,80,100,30,30,20,7,False,255,Mineral,,0.0,0.0,0.0,0.0,31.25,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,16.0
75,Graveler,Rock,Ground,390,65.0,55,95,115,45,45,35,1,False,120,Mineral,,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,16.0
75,Graveler Alolan Graveler,Rock,Electric,390,65.0,55,95,115,45,45,35,7,False,120,Mineral,,0.0,0.0,0.0,0.0,31.25,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,16.0
76,Golem,Rock,Ground,495,82.5,80,120,130,55,65,45,1,False,45,Mineral,,0.0,0.0,0.0,0.0,35.29,0.0,0.0,0.0,11.76,0.0,0.0,5.88,0.0,0.0,47.06,0.0,0.0,0.0,17.0
76,Golem Alolan Golem,Rock,Electric,495,82.5,80,120,130,55,65,45,7,False,45,Mineral,,0.0,0.0,0.0,5.88,29.41,0.0,0.0,23.53,0.0,0.0,0.0,5.88,0.0,0.0,35.29,0.0,0.0,0.0,17.0
77,Ponyta,Fire,,410,68.33,50,85,55,65,65,90,1,False,190,Field,,0.0,53.85,0.0,0.0,38.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,13.0
77,Ponyta Galarian Ponyta,Psychic,,410,68.33,50,85,55,65,65,90,8,False,190,Field,,0.0,0.0,0.0,0.0,38.46,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,46.15,0.0,0.0,0.0,0.0,13.0
78,Rapidash,Fire,,500,83.33,65,100,70,80,80,105,1,False,60,Field,,0.0,41.18,0.0,5.88,35.29,0.0,5.88,0.0,0.0,0.0,0.0,5.88,0.0,5.88,0.0,0.0,0.0,0.0,17.0
78,Rapidash Galarian Rapidash,Psychic,Fairy,500,83.33,65,100,70,80,80,105,8,False,60,Field,,0.0,0.0,0.0,6.25,37.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,43.75,0.0,0.0,0.0,0.0,16.0
79,Slowpoke,Water,Psychic,315,52.5,90,65,65,40,40,15,1,False,190,Monster,Water 1,0.0,0.0,23.53,0.0,41.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41,0.0,5.88,0.0,0.0,17.0
79,Slowpoke Galarian Slowpoke,Psychic,,315,52.5,90,65,65,40,40,15,8,False,190,Monster,Water 1,0.0,0.0,17.65,0.0,41.18,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,29.41,0.0,5.88,0.0,0.0,17.0
80,Slowbro,Water,Psychic,490,81.67,95,75,110,100,80,30,1,False,75,Monster,Water 1,0.0,0.0,27.78,0.0,38.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78,0.0,5.56,0.0,0.0,18.0
80,Slowbro Galarian Slowbro,Poison,Psychic,490,81.67,95,100,95,100,70,30,8,False,75,Monster,Water 1,0.0,0.0,21.05,0.0,36.84,0.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,26.32,0.0,5.26,0.0,0.0,19.0
81,Magnemite,Electric,Steel,325,54.17,25,35,70,95,55,45,1,False,190,Mineral,,0.0,0.0,0.0,0.0,26.67,0.0,0.0,46.67,0.0,0.0,0.0,20.0,0.0,6.67,0.0,0.0,0.0,0.0,15.0
82,Magneton,Electric,Steel,465,77.5,50,60,95,120,70,70,1,False,60,Mineral,,0.0,0.0,0.0,0.0,29.41,0.0,0.0,47.06,0.0,0.0,0.0,17.65,0.0,5.88,0.0,0.0,0.0,0.0,17.0
83,Farfetch'd,Normal,Flying,377,62.83,52,90,55,58,62,60,1,False,45,Flying,Field,6.67,0.0,0.0,6.67,33.33,6.67,0.0,0.0,6.67,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,33.33,15.0
83,Farfetch'd Galarian Farfetch'd,Fighting,,377,62.83,52,95,55,58,62,55,8,False,45,Flying,Field,6.67,0.0,0.0,6.67,20.0,13.33,0.0,0.0,6.67,0.0,0.0,0.0,26.67,0.0,0.0,0.0,0.0,20.0,15.0
84,Doduo,Normal,Flying,310,51.67,35,85,45,35,35,75,1,False,190,Flying,,0.0,0.0,0.0,6.25,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,25.0,16.0
85,Dodrio,Normal,Flying,470,78.33,60,110,70,60,60,110,1,False,45,Flying,,0.0,0.0,0.0,5.88,64.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,23.53,17.0
86,Seel,Water,,325,54.17,65,45,55,45,70,45,1,False,190,Water 1,Field,0.0,0.0,35.29,0.0,29.41,0.0,0.0,0.0,0.0,29.41,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,17.0
87,Dewgong,Water,Ice,475,79.17,90,70,80,70,95,70,1,False,75,Water 1,Field,0.0,0.0,36.84,0.0,26.32,0.0,0.0,0.0,0.0,31.58,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,19.0
